eng_TAMsimp,person,xYq0,WxY0,xYqX,XYqt,WXYq,ZYq0,WYq0,ZYqX,WxYX,WYqX,CPen
MOD is to ~ PRES,p3,2.0,inf,inf,inf,inf,inf,2.0,inf,inf,inf,inf
MOD lest ~ MOD may,p2,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD must,p1,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD must,p3,2.0,inf,inf,2.0,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ PRES PART,p2,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf
PRES PROG,p3,2.0,inf,inf,inf,2.0,inf,inf,inf,inf,inf,inf
MOD lest,p2,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ MOD would,p1,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD shall,p1,inf,2.0,2.0,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ FUT PROG,p3,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf
MOD that be ~ TO INF,p2,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?VB ~ PAST,p1,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES do,p1,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES do,p3,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf
MOD would ~ TO INF,p2,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT going-to ~ MOD is to,p3,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD would ~ PRES PART,p3,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD would ~ PRES PART,p2,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD would ~ PRES PART,p1,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf
MOD would ~ PAST PROG,p3,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD would ~ PAST PERF,p3,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf
MOD was to ~ PRES,p2,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES shall,p2,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST PERF,p1,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf
?VB ~ MOD let,p2,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ PRES PART,p1,inf,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf
MOD should ~ PAST,p2,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ MOD would,p2,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ MOD would,p1,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf
MOD should ~ MOD was to,p2,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?VB ~ MOD lest,p3,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf
MOD should ~ MOD was to,p1,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?VB ~ IMPV,p3,inf,inf,inf,inf,inf,inf,inf,inf,1.0,inf,inf
PRES ~ TO INF,p1,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ PAST,p1,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?VB,p2,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD ~ PRES,p3,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST PERF ~ PRES,p1,inf,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf
PRES PART ~ PRES PROG,p3,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ TO INF,p2,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf
PRES PART ~ PRES PERF,p3,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT PROG ~ MOD shall,p3,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf
FUT ~ FUT going-to,p3,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
FUT PERF ~ PRES,p3,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ IMPV,p1,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PART ~ PRES PERF,p2,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PART ~ PRES PERF,p1,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT going-to ~ MOD shall,p3,inf,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf
FUT ~ MOD,p3,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES shall,p3,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT PERF,p3,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PERF ~ TO INF,p3,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES can,p3,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD is to,p2,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PRES PART,p2,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PART ~ TO INF,p2,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PAST PROG,p2,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES PROG,p1,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST PROG ~ PRES PART,p2,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf
PAST PROG ~ PRES,p3,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf
PAST PROG ~ PRES,p2,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT going-to ~ MOD lest,p3,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
FUT PROG ~ PRES,p3,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf
PAST PERF ~ PRES,p2,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf
PRES PERF ~ PRES PROG,p3,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ TO INF,p3,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf
MOD quest must ~ MOD shall,p3,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD must,p3,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ PRES PERF,p1,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ PAST,p2,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ PAST,p1,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf
MOD can ~ MOD could,p2,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD lest,p3,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD must,p2,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD must,p1,inf,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf
MOD let ~ MOD may,p2,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf
MOD lest ~ PRES,p1,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD must,p1,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf
MOD can ~ MOD must,p2,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD would,p1,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD that be,p3,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD should,p1,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD let,p3,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD VB ~ MOD shall,p3,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf
MOD is to ~ TO INF,p3,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf
MOD is to ~ TO INF,p1,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ PRES PROG,p2,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ PRES PART,p3,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD should,p1,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD must,p2,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ MOD shall,p1,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf
MOD could ~ MOD should,p2,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD may,p2,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD lest,p3,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ PAST,p1,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to,p2,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ PAST PERF,p3,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ PRES PERF,p3,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf
MOD VB ~ TO INF,p3,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ VB,p1,inf,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf
MOD quest must,p3,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ MOD should,p3,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
HAB used to ~ MOD would,p1,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
HAB used to ~ PAST,p1,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
HAB used to ~ PRES,p3,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
HAB used to ~ PRES PERF,p3,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf
IMPV,p1,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD need not ~ MOD shall,p3,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ TO INF,p1,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD,p3,inf,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf
MOD must ~ TO INF,p3,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf
MOD must ~ PRES shall,p2,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ PRES PROG,p2,inf,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf
IMPV ~ MOD is to,p3,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf
IMPV ~ MOD lest,p2,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ PRES PART,p2,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf
MOD must ~ MOD should,p1,inf,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf
MOD VB ~ MOD can,p1,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ MOD quest must,p3,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf
IMPV ~ MOD may,p1,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD might ~ PRES PERF,p2,inf,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf
MOD might ~ MOD would,p2,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD need not,p2,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD might ~ MOD would,p1,inf,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf
MOD may ~ PRES PERF,p1,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf
MOD may ~ MOD would,p3,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ PRES,p1,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ MOD should,p3,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ MOD shall,p1,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ PRES PERF,p3,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ MOD might,p2,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
JJ ~ PRES,p3,inf,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf
MOD let ~ MOD might,p3,inf,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf
