eng_TAM,cl_args,qtl,Ø,wayq,yqtl,impv,wqtl,infc,ptcp,infa
PAST..IND,_W_IAV,1.0,inf,inf,inf,inf,inf,inf,inf,inf
PAST..IND,_W_A_KJ_V,inf,inf,1.0,inf,inf,inf,inf,inf,inf
PAST..IND,_W_AOV,inf,inf,1.0,inf,inf,inf,inf,inf,inf
PAST..IND,_LW_V,inf,1.0,inf,inf,inf,inf,inf,inf,inf
PRES..IND,_W_RV,inf,inf,inf,inf,inf,inf,inf,1.0,inf
PAST..IND,_W_VAV,1.0,inf,inf,inf,inf,inf,inf,inf,inf
PRES..IND,_W_QV,inf,1.0,inf,inf,inf,inf,inf,inf,inf
PAST..IND,_W__>M_AV,inf,1.0,inf,inf,inf,inf,inf,inf,inf
PAST..IND,_W__>M_V,inf,inf,inf,inf,inf,1.0,inf,inf,inf
PAST..IND,_ZWLH/_OV,inf,1.0,inf,inf,inf,inf,inf,inf,inf
PAST..SUBJ,ASV,1.0,inf,inf,inf,inf,inf,inf,inf,inf
PRES..IND,_W_ISV,inf,inf,inf,inf,inf,1.0,inf,inf,inf
PAST..SUBJ,IOV,1.0,inf,inf,inf,inf,inf,inf,inf,inf
PAST..SUBJ,OV,inf,inf,inf,inf,inf,inf,inf,1.0,inf
PAST..SUBJ,QV,inf,inf,1.0,inf,inf,inf,inf,inf,inf
PAST..SUBJ,SV,1.0,inf,inf,inf,inf,inf,inf,inf,inf
PAST..SUBJ,_KJ_AOV,1.0,inf,inf,inf,inf,inf,inf,inf,inf
PRES..IND,_LWL>_V,inf,inf,inf,1.0,inf,inf,inf,inf,inf
PAST..SUBJ,_KJ_V,inf,1.0,inf,inf,inf,inf,inf,inf,inf
PAST..SUBJ,_LW_V,inf,inf,inf,inf,1.0,inf,inf,inf,inf
PAST..SUBJ,_W_OV,inf,inf,1.0,inf,inf,inf,inf,inf,inf
PAST.PROG.IND,_W_V,inf,inf,1.0,inf,inf,inf,inf,inf,inf
